purpose_text,transaction_type
wage,Income
arbys,Food & Dining
occupational therapy,Healthcare & Medical
potbelly store branch,Food & Dining
amazon australia,Shopping & Retail
dairy queen,Food & Dining
ucla medical  uk center txn,Healthcare & Medical
walgreens ,Healthcare & Medical
starlink,Utilities & Services
cox,Utilities & Services
public wifi ,Utilities & Services
tennis court  australia,Entertainment & Recreation
equinox ,Entertainment & Recreation
dividend australia,Income
walmart store,Shopping & Retail
direct deposit canada,Income
tj maxx,Shopping & Retail
culvers  india,Food & Dining
franchise 2681,Income
cleveland clinic,Healthcare & Medical
parttime 5644 holiday,Income
retirement txn,Financial Services
spca store,Charity & Donations
senior center canada,Charity & Donations
bojangles store,Food & Dining
sick pay 4110 branch,Income
community center,Charity & Donations
dunkin donuts,Food & Dining
ebay  branch,Shopping & Retail
lyft,Transportation
planet fitness txn,Entertainment & Recreation
chiropractor,Healthcare & Medical
sparklight,Utilities & Services
taco bell,Food & Dining
museum night,Entertainment & Recreation
direct deposit 2210,Income
pnc bank india,Financial Services
ucla medical  store night,Healthcare & Medical
staples downtown,Shopping & Retail
surgery usa store center,Healthcare & Medical
charity  usa txn,Charity & Donations
phone company ,Utilities & Services
refund usa,Income
dunkin donuts store center,Food & Dining
baskinrobbins  uk night,Food & Dining
mobile hotspot ,Utilities & Services
internet provider store,Utilities & Services
windstream ,Utilities & Services
wifi ,Utilities & Services
mount sinai  canada airport,Healthcare & Medical
pharmacy  usa store branch,Healthcare & Medical
vacation pay 5696 txn747845,Income
water company ,Utilities & Services
panda express,Food & Dining
pediatrician ,Healthcare & Medical
att,Utilities & Services
sparklight,Utilities & Services
rcn  canada lunch time,Utilities & Services
baskinrobbins,Food & Dining
specialist ,Healthcare & Medical
blood test,Healthcare & Medical
surgery,Healthcare & Medical
irs  canada,Government & Legal
rallys,Food & Dining
tmobile,Utilities & Services
rental income 7899 australia,Income
cvs ,Healthcare & Medical
tax australia evening,Government & Legal
psychiatrist ,Healthcare & Medical
swimming pool,Entertainment & Recreation
tim hortons usa store,Food & Dining
maternity leave,Income
gofundme center,Charity & Donations
notary branch station,Government & Legal
von maur airport,Shopping & Retail
getaround store,Transportation
bp,Transportation
cinemark,Entertainment & Recreation
panda express txn,Food & Dining
fiber  uk residential,Utilities & Services
pnc bank,Financial Services
gamestop store branch,Shopping & Retail
shake shack australia txn,Food & Dining
legal  usa,Government & Legal
homeless shelter ,Charity & Donations
legal  txn,Government & Legal
audubon society australia,Charity & Donations
fundraising store weekend,Charity & Donations
gym  rush hour,Entertainment & Recreation
chickfila store,Food & Dining
costco ,Shopping & Retail
fitness store txn,Entertainment & Recreation
reimbursement,Income
big lots evening,Shopping & Retail
trampoline park,Entertainment & Recreation
bookkeeping  center,Financial Services
water park,Entertainment & Recreation
checkers  store,Food & Dining
pnc bank strip mall,Financial Services
wow,Utilities & Services
bmo harris,Financial Services
cable company branch,Utilities & Services
city hall night,Government & Legal
world vision lunch time,Charity & Donations
tax ,Government & Legal
audubon society,Charity & Donations
anytime fitness,Entertainment & Recreation
state police ,Government & Legal
carnival,Entertainment & Recreation
rite aid ,Shopping & Retail
museum  holiday,Entertainment & Recreation
us bank txn,Financial Services
mobile ,Utilities & Services
td bank ,Financial Services
contract work store branch,Income
carnival txn,Entertainment & Recreation
amazon prime india,Entertainment & Recreation
court ,Government & Legal
comerica ,Financial Services
animal shelter,Charity & Donations
greenpeace canada store,Charity & Donations
carls jr store,Food & Dining
subway,Food & Dining
childrens hospital evening,Healthcare & Medical
kroger pharmacy,Healthcare & Medical
golds gym,Entertainment & Recreation
orange theory,Entertainment & Recreation
arbys,Food & Dining
wow txn,Utilities & Services
temple,Charity & Donations
childrens hospital ,Healthcare & Medical
bank of america ,Financial Services
financial advisor usa branch txn,Financial Services
cable internet center downtown,Utilities & Services
rite aid usa,Healthcare & Medical
temple  hospital,Charity & Donations
bank store center weekend,Financial Services
credit,Income
centurylink usa station,Utilities & Services
maven ,Transportation
keybank canada,Financial Services
innout,Food & Dining
dairy queen,Food & Dining
phone company,Utilities & Services
town hall,Government & Legal
septa,Transportation
officemax ,Shopping & Retail
sheriff  dinner time,Government & Legal
arcade branch strip mall,Entertainment & Recreation
mortgage usa station,Financial Services
culvers  india,Food & Dining
amazon  station,Shopping & Retail
community center ,Charity & Donations
bank  strip mall,Financial Services
belk usa center,Shopping & Retail
urgent care ,Healthcare & Medical
hulu branch holiday,Entertainment & Recreation
saks off th txn,Shopping & Retail
trampoline park,Entertainment & Recreation
turo morning,Transportation
walmart supercenter store,Food & Dining
kroger pharmacy holiday,Healthcare & Medical
starbucks,Food & Dining
salary 9920 usa,Income
mini golf txn,Entertainment & Recreation
clinic australia dinner time,Healthcare & Medical
nordstrom canada,Shopping & Retail
primary care  uk,Healthcare & Medical
urgent care store evening,Healthcare & Medical
windstream,Utilities & Services
mini golf txn,Entertainment & Recreation
religious organization store,Charity & Donations
concert ,Entertainment & Recreation
bus weekend,Transportation
la fitness  uk txn,Entertainment & Recreation
water company  store rush hour,Utilities & Services
maternity leave,Income
specialist weekend,Healthcare & Medical
boltbus,Transportation
digital bank canada branch business district,Financial Services
refund,Income
church  afternoon,Charity & Donations
highway patrol  usa,Government & Legal
google fiber,Utilities & Services
ngo,Charity & Donations
investment,Financial Services
zaxbys residential,Food & Dining
macys  center,Shopping & Retail
hospital ,Healthcare & Medical
cedarssinai canada store,Healthcare & Medical
bank ,Financial Services
cinema store lunch time,Entertainment & Recreation
highway patrol ,Government & Legal
apple store usa,Shopping & Retail
community bank branch,Financial Services
town hall evening,Government & Legal
septa txn,Transportation
jersey mikes mall,Food & Dining
bookkeeping,Financial Services
rite aid ,Healthcare & Medical
office depot,Shopping & Retail
barneys new york store morning,Shopping & Retail
post office  branch,Government & Legal
payroll 9165,Income
local food bank airport,Charity & Donations
royalty,Income
greyhound,Transportation
lord taylor,Shopping & Retail
cta,Transportation
target,Shopping & Retail
overtime 8850,Income
gamestop,Shopping & Retail
emergency services store,Government & Legal
mta  business district,Transportation
mri mall,Healthcare & Medical
national parks holiday,Charity & Donations
local food bank,Charity & Donations
getaround,Transportation
sprint ,Utilities & Services
tim hortons ,Food & Dining
rite aid  store,Healthcare & Medical
tsa center,Government & Legal
fire department ,Government & Legal
payroll usa,Income
zipcar uk store station,Transportation
burlington lunch time,Shopping & Retail
salvation army  australia downtown,Charity & Donations
bp hospital,Transportation
nyu langone,Healthcare & Medical
refund,Income
walkin clinic uk,Healthcare & Medical
wifi center,Utilities & Services
trader joes,Food & Dining
nyu langone,Healthcare & Medical
wmata ,Transportation
physical therapy  uk morning,Healthcare & Medical
psychiatrist canada strip mall,Healthcare & Medical
reward,Income
gynecologist rush hour,Healthcare & Medical
bonus,Income
toll hospital,Transportation
irs  downtown,Government & Legal
panera bread night,Food & Dining
urologist  uk,Healthcare & Medical
hertz ,Transportation
exxon,Transportation
att,Utilities & Services
walmart supercenter ,Food & Dining
comerica australia dinner time,Financial Services
immigration ,Government & Legal
big lots,Shopping & Retail
water park,Entertainment & Recreation
freelance store dinner time,Income
highway patrol,Government & Legal
wells fargo ,Financial Services
carnival station,Entertainment & Recreation
rallys txn,Food & Dining
walkin clinic,Healthcare & Medical
lab,Healthcare & Medical
hsbc,Financial Services
business wifi  store strip mall,Utilities & Services
occupational therapy,Healthcare & Medical
macys india,Shopping & Retail
mcdonalds india,Food & Dining
childrens hospital,Healthcare & Medical
water company australia,Utilities & Services
gig work india business district,Income
frontier ,Utilities & Services
doctors without borders store,Charity & Donations
maternity leave,Income
religious organization  canada store,Charity & Donations
kickstarter  business district,Charity & Donations
gig work mall,Income
digital bank  canada,Financial Services
blimpie txn,Food & Dining
youth organization  store,Charity & Donations
payroll australia,Income
franchise,Income
tmobile store,Utilities & Services
cashback 7345,Income
home depot  store,Shopping & Retail
paternity leave 1130,Income
train campus,Transportation
apple store canada,Shopping & Retail
big lots,Shopping & Retail
offering ,Charity & Donations
post office center weekday,Government & Legal
spca australia store,Charity & Donations
tax preparation store downtown,Financial Services
toll,Transportation
frontier  store,Utilities & Services
soulcycle  store,Entertainment & Recreation
consulting hospital,Income
fundraising,Charity & Donations
sixt,Transportation
costco branch weekday,Shopping & Retail
regal  store station,Entertainment & Recreation
netflix  campus,Entertainment & Recreation
cox canada,Utilities & Services
medicaid  lunch time,Government & Legal
potbelly mall,Food & Dining
national center residential,Transportation
rcn  branch,Utilities & Services
parking,Transportation
comcast  store,Utilities & Services
fifth third downtown,Financial Services
emergency room  store downtown,Healthcare & Medical
world vision  txn,Charity & Donations
mosque,Charity & Donations
atf,Government & Legal
physical therapy,Healthcare & Medical
congress,Government & Legal
starbucks,Food & Dining
zipcar  store txn,Transportation
border patrol,Government & Legal
ski resort australia,Entertainment & Recreation
bloomingdales store morning,Shopping & Retail
interest india store,Income
pension 9158 australia store airport,Income
hsbc strip mall,Financial Services
social security 9579 store,Income
royalty dinner time,Income
mri uk,Healthcare & Medical
td bank,Financial Services
rallys  uk center,Food & Dining
salary,Income
viasat canada store,Utilities & Services
offering,Charity & Donations
habitat for humanity store,Charity & Donations
social security australia,Income
ebay store,Shopping & Retail
refund store,Income
licensing 3423,Income
oxfam  branch weekend,Charity & Donations
mutual fund store,Financial Services
local church store campus,Charity & Donations
humane society  center,Charity & Donations
unemployment,Income
clinic center txn,Healthcare & Medical
laser tag,Entertainment & Recreation
budget  canada txn,Transportation
fitness txn,Entertainment & Recreation
gokart store branch,Entertainment & Recreation
ems,Government & Legal
lord taylor,Shopping & Retail
amazon prime  uk,Entertainment & Recreation
medicaid store center,Government & Legal
southwest airlines,Transportation
sick pay,Income
nike india branch,Shopping & Retail
escape room ,Entertainment & Recreation
starlink,Utilities & Services
target store,Food & Dining
specialist  store,Healthcare & Medical
salary,Income
reimbursement txn376327,Income
carls jr,Food & Dining
fifth third,Financial Services
tim hortons uk store txn,Food & Dining
kickstarter  australia store,Charity & Donations
senate ,Government & Legal
licensing dinner time,Income
gokart  airport,Entertainment & Recreation
urologist india night,Healthcare & Medical
olive garden canada store,Food & Dining
financial advisor,Financial Services
community bank txn,Financial Services
holiday pay,Income
state police,Government & Legal
mcdonalds store,Food & Dining
pension 7305,Income
freelance australia mall,Income
cvs usa center,Healthcare & Medical
alamo,Transportation
amnesty international,Charity & Donations
water park,Entertainment & Recreation
pediatrician,Healthcare & Medical
stock,Financial Services
dsl store rush hour,Utilities & Services
safeway  uk night,Food & Dining
first national ,Financial Services
digital bank,Financial Services
gamestop,Shopping & Retail
exxon lunch time,Transportation
wifi hotspot,Utilities & Services
wifi australia morning,Utilities & Services
licensing 5054 store,Income
regal,Entertainment & Recreation
zara branch night,Shopping & Retail
officemax lunch time,Shopping & Retail
customs,Government & Legal
moes southwest grill usa,Food & Dining
spotify,Entertainment & Recreation
bonus 3512,Income
salary 3738 txn469802,Income
gofundme usa hospital,Charity & Donations
lord taylor ,Shopping & Retail
budget ,Transportation
bloomingdales  store branch,Shopping & Retail
officemax ,Shopping & Retail
ebay  txn,Shopping & Retail
mortgage store afternoon,Financial Services
pediatrician india,Healthcare & Medical
family dollar dinner time,Shopping & Retail
flixbus  india store txn,Transportation
firehouse subs  branch weekend,Food & Dining
brokerage,Financial Services
refund 8706 weekday,Income
taco bell usa store airport,Food & Dining
directv ,Utilities & Services
ambulance night,Government & Legal
spectrum  dinner time,Utilities & Services
disney+ afternoon,Entertainment & Recreation
reimbursement canada,Income
apple store ,Shopping & Retail
offering ,Charity & Donations
baskinrobbins ,Food & Dining
paternity leave 4533,Income
whole foods downtown,Food & Dining
potbelly store hospital,Food & Dining
water company  lunch time,Utilities & Services
rental income 1277,Income
passport txn,Government & Legal
consolidated communications  india,Utilities & Services
chevron store txn,Transportation
world vision australia,Charity & Donations
anytime fitness,Entertainment & Recreation
exxon,Transportation
comerica txn,Financial Services
zoo,Entertainment & Recreation
google fiber,Utilities & Services
credit union,Financial Services
financial advisor txn,Financial Services
verizon store holiday,Utilities & Services
laser tag  india,Entertainment & Recreation
religious organization  uk,Charity & Donations
stock ,Financial Services
pure barre ,Entertainment & Recreation
neiman marcus  store,Shopping & Retail
zipcar,Transportation
parttime,Income
sick pay store,Income
starlink ,Utilities & Services
kickstarter usa,Charity & Donations
saks off th,Shopping & Retail
taxi  afternoon,Transportation
broadband uk,Utilities & Services
tj maxx,Shopping & Retail
dermatologist txn,Healthcare & Medical
vacation pay,Income
state police canada store,Government & Legal
mosque ,Charity & Donations
investment branch,Financial Services
festival usa txn,Entertainment & Recreation
loan weekend,Financial Services
jimmy johns ,Food & Dining
kickstarter,Charity & Donations
irs branch txn,Government & Legal
bookkeeping  canada center txn,Financial Services
hardees center,Food & Dining
deposit holiday,Income
walmart store hospital,Shopping & Retail
apple store,Shopping & Retail
td bank weekday,Financial Services
hawaiian airlines branch,Transportation
swimming pool  australia center,Entertainment & Recreation
uniqlo store,Shopping & Retail
bmo harris branch,Financial Services
